Variable,Cumulative_Period,Lag,Correlation,Abs_Correlation
평균강수량,9,0,0.5429790503478227,0.5429790503478227
평균강수량,8,0,0.5390924189239149,0.5390924189239149
평균일사량,30,9,0.5352247142584098,0.5352247142584098
평균강수량,10,1,0.5328192091986228,0.5328192091986228
평균일사량,29,8,0.5313656839092847,0.5313656839092847
평균강수량,10,0,0.5275504598749122,0.5275504598749122
평균일사량,29,9,0.5268485657971833,0.5268485657971833
평균강수량,9,1,0.5254185570191221,0.5254185570191221
평균강수량,7,0,0.5250584370069514,0.5250584370069514
평균일사량,28,8,0.5238936278951052,0.5238936278951052
평균강수량,11,1,0.5238830539141164,0.5238830539141164
평균일사량,30,8,0.5211368956068428,0.5211368956068428
평균강수량,11,2,0.5201038569647267,0.5201038569647267
평균강수량,12,2,0.5164343794138464,0.5164343794138464
평균일사량,30,10,0.5150355137457749,0.5150355137457749
평균강수량,13,2,0.5130653926945064,0.5130653926945064
평균강수량,10,2,0.5078222187035538,0.5078222187035538
평균강수량,12,1,0.5076204274401652,0.5076204274401652
평균강수량,8,1,0.507209237074621,0.507209237074621
평균일사량,28,7,0.5052558929721841,0.5052558929721841
평균강수량,11,0,0.5048891749237207,0.5048891749237207
평균일사량,27,7,0.5030546471952614,0.5030546471952614
평균강수량,14,3,0.5016888283191194,0.5016888283191194
평균강수량,13,3,0.5013919085714831,0.5013919085714831
평균강수량,6,0,0.4999713224166427,0.4999713224166427
평균강수량,14,2,0.49930870642422764,0.49930870642422764
평균일사량,28,9,0.4968950969660254,0.4968950969660254
평균일사량,27,8,0.49675831174132273,0.49675831174132273
평균일사량,29,7,0.4938506181535346,0.4938506181535346
평균일사량,24,4,0.49231162479541346,0.49231162479541346
평균강수량,12,3,0.4922033257299062,0.4922033257299062
평균강수량,15,3,0.49130251810359693,0.49130251810359693
평균강수량,15,4,0.4911202341187439,0.4911202341187439
평균일사량,23,3,0.4906596474940584,0.4906596474940584
평균강수량,13,1,0.4903011810734718,0.4903011810734718
평균일사량,26,6,0.4888791110705295,0.4888791110705295
평균일사량,27,6,0.48719070419888877,0.48719070419888877
평균강수량,9,2,0.4870415864177182,0.4870415864177182
평균일사량,25,5,0.48696443017181973,0.48696443017181973
평균일사량,25,4,0.4869152275157596,0.4869152275157596
평균강수량,14,4,0.4865777367943802,0.4865777367943802
평균일사량,24,3,0.4842998301142223,0.4842998301142223
평균일사량,29,10,0.48369854507986976,0.48369854507986976
평균일사량,26,7,0.48179363459272484,0.48179363459272484
