DATE,품목명,단위,등급명,평균가격,전년,평년
202512하순,배추,10키로망대,상,9053.0,12113.22222222222,6249.885185185184
202512중순,배추,10키로망대,상,9845.125,10332.77777777778,6355.416666666668
202512상순,배추,10키로망대,상,10824.11111111111,8959.125,6205.305555555556
202511하순,배추,10키로망대,상,12583.0,9669.555555555555,6802.699074074074
202511중순,배추,10키로망대,상,11497.77777777778,7741.666666666668,7115.458333333332
202511상순,배추,10키로망대,상,9759.142857142857,8591.375,7159.050925925926
202510하순,배추,10키로망대,상,7532.4,12041.8,7503.703703703702
202510중순,배추,10키로망대,상,6330.5,21467.5,9774.837962962964
202510상순,배추,10키로망대,상,13768.16666666667,24898.11111111111,15542.70833333333
202509하순,배추,10키로망대,상,16362.5,24698.5,20067.14814814815
202509중순,배추,10키로망대,상,13377.77777777778,28611.66666666667,22347.43452380952
202509상순,배추,10키로망대,상,14639.11111111111,22246.375,17456.875
202508하순,배추,10키로망대,상,14094.55555555555,18402.1,15839.48888888889
202508중순,배추,10키로망대,상,13323.22222222222,17244.0,13973.64814814815
202508상순,배추,10키로망대,상,16017.71428571428,15275.5,13885.55291005291
202507하순,배추,10키로망대,상,11547.8,11541.55555555555,11222.63703703704
202507중순,배추,10키로망대,상,12708.0,10909.55555555555,9962.356481481482
202507상순,배추,10키로망대,상,7318.111111111111,9003.444444444445,7719.587962962964
202506하순,배추,10키로망대,상,6990.125,7502.0,7716.041666666668
202506중순,배추,10키로망대,상,7102.555555555556,6536.333333333332,7258.222222222222
202506상순,배추,10키로망대,상,6904.25,6617.0,7491.592592592593
202505하순,배추,10키로망대,상,5278.6,6563.4,7132.614814814813
202505중순,배추,10키로망대,상,5283.25,11324.125,9150.185185185182
202505상순,배추,10키로망대,상,7261.666666666668,13291.11111111111,10149.76388888889
202504하순,배추,10키로망대,상,8519.111111111111,14195.25,10240.51851851852
202504중순,배추,10키로망대,상,9735.25,15885.11111111111,9383.564814814816
202504상순,배추,10키로망대,상,12576.88888888889,13845.33333333333,9675.40277777778
202503하순,배추,10키로망대,상,12490.11111111111,11451.0,9084.485185185185
202503중순,배추,10키로망대,상,13800.55555555555,11176.77777777778,8936.527777777777
202503상순,배추,10키로망대,상,15222.0,10250.375,8860.76388888889
202502하순,배추,10키로망대,상,15154.71428571428,8912.75,8791.40873015873
202502중순,배추,10키로망대,상,14163.125,8537.142857142857,8447.154761904761
202502상순,배추,10키로망대,상,14875.5,6387.625,7013.319444444444
202501하순,배추,10키로망대,상,13221.14285714286,6624.777777777778,6650.287037037036
202501중순,배추,10키로망대,상,14100.375,5925.222222222222,6173.777777777778
202501상순,배추,10키로망대,상,15678.375,5945.285714285716,5926.04761904762
202412하순,배추,10키로망대,상,12113.22222222222,6270.555555555556,6249.885185185187
202412중순,배추,10키로망대,상,10332.77777777778,6911.0,6355.416666666668
202412상순,배추,10키로망대,상,8959.125,5882.25,6205.305555555555
202411하순,배추,10키로망대,상,9669.555555555555,5593.222222222223,6765.800925925926
202411중순,배추,10키로망대,상,7741.666666666668,6930.375,7593.680555555555
202411상순,배추,10키로망대,상,8591.375,6990.555555555556,7085.300925925926
202410하순,배추,10키로망대,상,12041.8,8444.333333333334,7503.703703703705
202410중순,배추,10키로망대,상,21467.5,11717.11111111111,9774.837962962965
202410상순,배추,10키로망대,상,24898.11111111111,12551.125,15307.94907407407
202409하순,배추,10키로망대,상,24698.5,14177.0,17998.54166666666
202409중순,배추,10키로망대,상,28611.66666666667,13739.44444444445,17775.20171957672
202409상순,배추,10키로망대,상,22246.375,11397.25,14399.75
202408하순,배추,10키로망대,상,18402.1,12620.7,12707.71481481482
202408중순,배추,10키로망대,상,17244.0,11413.5,10947.12962962963
202408상순,배추,10키로망대,상,15275.5,16364.5,12221.81481481482
202407하순,배추,10키로망대,상,11541.55555555555,10086.55555555555,9648.551851851851
202407중순,배추,10키로망대,상,10909.55555555555,7741.888888888889,8357.060185185184
202407상순,배추,10키로망대,상,9003.444444444445,6257.875,6559.921296296296
202406하순,배추,10키로망대,상,7502.0,8038.0,7257.916666666668
202406중순,배추,10키로망대,상,6536.333333333332,7750.0,6998.888888888889
202406상순,배추,10키로망대,상,6617.0,8684.666666666666,7361.148148148149
202405하순,배추,10키로망대,상,6563.4,7140.777777777778,6849.074074074074
202405중순,배추,10키로망대,상,11324.125,9093.555555555555,7484.22222222222
202405상순,배추,10키로망대,상,13291.11111111111,9977.666666666666,8767.555555555555
202404하순,배추,10키로망대,상,14195.25,8725.75,9400.768518518518
202404중순,배추,10키로망대,상,15885.11111111111,8423.555555555555,8714.935185185184
202404상순,배추,10키로망대,상,13845.33333333333,9144.75,8767.02777777778
202403하순,배추,10키로망대,상,11451.0,6714.2,8087.918518518516
202403중순,배추,10키로망대,상,11176.77777777778,6904.125,8122.791666666668
202403상순,배추,10키로망대,상,10250.375,7228.666666666668,8166.689814814815
202402하순,배추,10키로망대,상,8912.75,5978.428571428572,7813.301587301586
202402중순,배추,10키로망대,상,8537.142857142857,6148.75,7651.023809523809
202402상순,배추,10키로망대,상,6387.625,4853.777777777777,6502.037037037036
202401하순,배추,10키로망대,상,6624.777777777778,5505.142857142857,6277.075396825397
202401중순,배추,10키로망대,상,5925.222222222222,4037.333333333334,5544.481481481482
202401상순,배추,10키로망대,상,5945.285714285716,4037.285714285714,5049.341269841269
202312하순,배추,10키로망대,상,6270.555555555556,4715.9,5283.966666666665
202312중순,배추,10키로망대,상,6911.0,4487.875,5312.458333333333
202312상순,배추,10키로망대,상,5882.25,4451.888888888889,5682.722222222222
202311하순,배추,10키로망대,상,5593.222222222223,5000.777777777777,6568.319444444443
202311중순,배추,10키로망대,상,6930.375,5806.25,7218.972222222222
202311상순,배추,10키로망대,상,6990.555555555556,5895.222222222222,6674.199074074074
202310하순,배추,10키로망대,상,8444.333333333334,7601.111111111111,6688.992592592592
202310중순,배추,10키로망대,상,11717.11111111111,9403.777777777777,7685.50462962963
202310상순,배추,10키로망대,상,12551.125,17092.5,13241.32407407407
202309하순,배추,10키로망대,상,14177.0,21651.0,16320.04166666667
202309중순,배추,10키로망대,상,13739.44444444445,27456.14285714286,17572.81547619048
202309상순,배추,10키로망대,상,11397.25,21026.625,14399.75
202308하순,배추,10키로망대,상,12620.7,16495.66666666667,14361.78148148148
202308중순,배추,10키로망대,상,11413.5,13403.11111111111,12554.1712962963
202308상순,배추,10키로망대,상,16364.5,14042.44444444445,11134.04166666667
202307하순,배추,10키로망대,상,10086.55555555555,17330.11111111111,10031.81111111111
202307중순,배추,10키로망대,상,7741.888888888889,14769.11111111111,8428.763888888889
202307상순,배추,10키로망대,상,6257.875,9905.125,6300.379629629632
202306하순,배추,10키로망대,상,8038.0,9065.0,6291.25
202306중순,배추,10키로망대,상,7750.0,8013.0,6221.680555555555
202306상순,배추,10키로망대,상,8684.666666666666,8901.555555555555,6092.75925925926
202305하순,배추,10키로망대,상,7140.777777777778,7693.666666666668,5725.714814814815
202305중순,배추,10키로망대,상,9093.555555555555,8768.222222222223,6005.287037037036
202305상순,배추,10키로망대,상,9977.666666666666,9817.875,7304.814814814814
202304하순,배추,10키로망대,상,8725.75,10479.77777777778,8704.601851851852
202304중순,배추,10키로망대,상,8423.555555555555,10429.44444444445,8267.824074074073
202304상순,배추,10키로망대,상,9144.75,10315.125,8219.90277777778
202303하순,배추,10키로망대,상,6714.2,9703.9,8515.218518518517
202303중순,배추,10키로망대,상,6904.125,9176.25,8420.291666666664
202303상순,배추,10키로망대,상,7228.666666666668,8614.777777777777,8479.875
202302하순,배추,10키로망대,상,5978.428571428572,8567.142857142857,8450.73015873016
