"조회일자","지역(시군)","지점명","평균 기온(°C)","최고 기온(°C)","최저 기온(°C)","전년 기온(°C)","평균 강수량(mm)","전년 강수량(mm)","평균 일조시간(hr)","전년 일조시간(hr)","평균 일사량(MJ/㎡)","전년 일사량(MJ/㎡)","평균 습도(%)","전년 습도(%)"
"20251231","강원","평창군 여만리","-6.3","-1.3","-11.1","-1.2","0.0","0.0","0.0","0.0","10.42","10.1","46.3","52.8"
"20251230","강원","평창군 여만리","-2.2","2.8","-6.8","2.3","0.0","0.0","0.0","0.0","10.08","2.5","63.5","72.3"
"20251229","강원","평창군 여만리","1.3","7.5","-3.1","-4.0","2.0","0.0","0.0","0.0","5.08","9.7","90.1","66.8"
"20251228","강원","평창군 여만리","-2.1","3.7","-7.8","-5.7","0.0","0.0","0.0","0.0","7.6","10.0","85.1","50.5"
"20251227","강원","평창군 여만리","-6.8","-0.6","-13.0","-5.9","0.0","0.0","0.0","0.0","7.81","9.9","69.9","55.6"
"20251226","강원","평창군 여만리","-9.5","-5.0","-13.1","-0.4","0.0","0.0","0.0","0.0","10.16","9.3","46.3","56.3"
"20251225","강원","평창군 여만리","-1.9","1.6","-8.7","-4.1","0.0","0.0","0.0","0.0","8.12","6.2","55.4","76.0"
"20251224","강원","평창군 여만리","2.6","8.6","0.2","-6.4","0.0","0.0","0.0","0.0","8.27","9.7","87.2","75.2"
"20251223","강원","평창군 여만리","-2.3","1.8","-7.3","-7.5","2.0","0.0","0.0","0.0","2.68","10.2","80.4","75.6"
"20251222","강원","평창군 여만리","-4.2","5.8","-10.3","-7.4","0.0","0.0","0.0","0.0","9.7","5.3","66.7","69.2"
"20251221","강원","평창군 여만리","-1.7","2.1","-7.8","-1.8","0.0","1.0","0.0","0.0","9.22","1.2","48.2","82.0"
"20251220","강원","평창군 여만리","3.4","7.9","-0.4","-3.1","0.0","0.0","0.0","0.0","1.16","5.5","90.3","73.0"
"20251219","강원","평창군 여만리","-1.5","3.6","-6.5","-5.2","0.0","0.0","0.0","0.0","2.33","9.7","86.2","66.2"
"20251218","강원","평창군 여만리","-1.6","5.9","-5.3","-5.6","0.0","0.0","0.0","0.0","8.53","10.1","83.5","63.8"
"20251217","강원","평창군 여만리","1.3","6.2","-4.1","-3.4","0.0","0.0","0.0","0.0","5.96","7.4","85.7","61.3"
"20251216","강원","평창군 여만리","0.3","2.7","-3.1","-2.8","0.0","0.0","0.0","0.0","1.96","8.5","91.7","61.6"
"20251215","강원","평창군 여만리","-3.1","2.8","-8.5","-1.3","0.0","0.0","0.0","0.0","5.68","4.5","85.6","58.9"
"20251214","강원","평창군 여만리","-2.1","0.6","-6.3","-4.6","0.0","0.0","0.0","0.0","2.74","10.0","78.6","59.1"
"20251213","강원","평창군 여만리","0.5","4.4","-2.1","-1.9","3.0","0.0","0.0","0.0","2.89","6.8","88.7","57.6"
"20251212","강원","평창군 여만리","0.3","6.1","-4.4","-0.6","0.0","0.0","0.0","0.0","9.46","8.7","74.9","68.9"
"20251211","강원","평창군 여만리","0.6","6.8","-2.9","0.6","7.0","0.0","0.0","0.0","3.82","8.2","88.4","69.7"
"20251210","강원","평창군 여만리","-1.2","5.4","-7.1","-3.1","0.0","0.0","0.0","0.0","5.02","10.0","80.3","70.9"
"20251209","강원","평창군 여만리","-2.9","5.5","-9.2","-4.3","0.0","0.0","0.0","0.0","10.45","10.1","69.9","64.6"
"20251208","강원","평창군 여만리","1.6","7.1","-6.1","-3.6","0.0","0.0","0.0","0.0","10.31","10.1","44.6","57.5"
"20251207","강원","평창군 여만리","5.8","12.5","-0.8","-2.1","0.0","0.0","0.0","0.0","9.1","10.2","69.0","55.1"
"20251206","강원","평창군 여만리","-0.9","6.7","-8.7","0.8","0.0","0.0","0.0","0.0","7.41","10.5","70.5","42.5"
"20251205","강원","평창군 여만리","-5.2","1.1","-10.3","1.8","0.0","0.0","0.0","0.0","9.66","10.1","66.9","56.0"
