DATE,품목명,총반입량,전년,평년,서울청과,농협,중앙청과,동화청과,한국청과,대아청과
202512하순,배추,2955,2589,2668.666666666667,95,0,3,23,272,2563
202512중순,배추,3729,3441,2286.0,124,1,7,13,245,3338
202512상순,배추,6722,5140,4564.0,337,118,20,29,322,5896
202511하순,배추,8512,8288,8218.0,537,191,50,40,303,7390
202511중순,배추,9293,7974,8381.0,465,150,32,93,332,8222
202511상순,배추,5308,5192,5994.0,248,94,7,40,233,4688
202510하순,배추,6062,5699,5540.333333333333,285,67,28,112,265,5303
202510중순,배추,5526,4127,5117.0,207,56,37,142,283,4802
202510상순,배추,5310,4341,4512.333333333333,278,39,31,207,331,4423
202509하순,배추,6039,4199,4732.666666666667,312,32,44,273,342,5035
202509중순,배추,5491,3490,4447.333333333333,277,81,24,85,216,4807
202509상순,배추,5087,6058,5291.333333333333,263,83,18,42,149,4532
202508하순,배추,4025,5259,4940.666666666667,297,40,13,28,171,3475
202508중순,배추,4398,3603,3742.0,257,60,94,69,254,3666
202508상순,배추,3118,3490,3275.0,189,40,71,34,185,2598
202507하순,배추,5051,4279,3545.666666666666,308,60,49,69,313,4252
202507중순,배추,3282,3614,3335.0,119,62,28,27,196,2851
202507상순,배추,3674,4059,3593.0,140,51,12,36,243,3187
202506하순,배추,3453,3199,3583.666666666666,128,47,2,25,211,3041
202506중순,배추,3523,3822,3297.333333333334,151,50,6,23,254,3038
202506상순,배추,2957,2890,3155.333333333334,198,3,15,22,211,2505
202505하순,배추,3692,3888,3297.666666666666,163,0,26,29,215,3258
202505중순,배추,3557,3360,3337.0,140,10,33,25,208,3138
202505상순,배추,3850,3341,2896.0,211,10,55,26,292,3256
202504하순,배추,3869,3015,2840.333333333333,176,5,17,33,214,3426
202504중순,배추,3187,3112,2784.0,97,0,38,30,191,2830
202504상순,배추,4216,3191,2628.0,263,0,72,35,265,3585
202503하순,배추,4041,3162,2882.666666666666,171,0,84,61,289,3438
202503중순,배추,4311,3058,2316.666666666667,275,5,119,89,366,3456
202503상순,배추,3420,2238,2472.0,180,5,91,81,289,2773
202502하순,배추,2239,2262,2003.666666666667,104,5,33,36,286,1770
202502중순,배추,3263,1870,1988.333333333333,173,10,18,18,316,2727
202502상순,배추,2370,2856,2492.0,129,0,50,21,214,1959
202501하순,배추,2651,2854,2560.0,102,5,37,14,289,2201
202501중순,배추,2972,2389,2559.333333333333,100,0,12,11,283,2564
202501상순,배추,2752,2210,2062.333333333333,75,0,9,11,233,2423
202412하순,배추,2589,2797,2724.666666666667,112,0,13,19,255,2187
202412중순,배추,3441,2298,2286.0,191,0,45,14,257,2939
202412상순,배추,5140,4375,4508.0,261,31,91,41,227,4485
202411하순,배추,8288,8757,8534.0,393,95,178,89,240,7294
202411중순,배추,7974,8066,8582.0,415,49,66,36,279,7132
202411상순,배추,5192,5935,5994.0,244,22,55,59,296,4518
202410하순,배추,5699,4926,5573.333333333333,225,45,33,99,357,4940
202410중순,배추,4127,5147,5117.0,155,58,41,96,222,3550
202410상순,배추,4341,4840,4581.666666666667,83,23,30,57,234,3916
202409하순,배추,4199,4984,4534.666666666667,96,14,18,49,266,3756
202409중순,배추,3490,6372,4398.666666666667,107,5,20,25,261,3073
202409상순,배추,6058,4620,5290.0,233,11,17,63,213,5517
202408하순,배추,5259,4849,5030.333333333333,183,0,14,23,245,4795
202408중순,배추,3603,3698,3929.666666666666,195,0,3,10,130,3265
202408상순,배추,3490,3250,3354.666666666666,198,0,5,14,135,3139
202407하순,배추,4279,3179,3411.0,223,0,8,20,159,3871
202407중순,배추,3614,3193,3368.333333333334,218,0,1,23,187,3184
202407상순,배추,4059,3042,3551.0,211,0,8,22,203,3616
202406하순,배추,3199,3319,3583.666666666666,158,0,5,13,182,2840
202406중순,배추,3822,2555,3208.666666666666,161,0,3,23,239,3395
202406상순,배추,2890,2819,3173.666666666666,106,0,3,21,174,2587
202405하순,배추,3888,3195,3297.666666666666,132,0,1,26,264,3465
202405중순,배추,3360,2589,3080.0,106,0,0,19,177,3056
202405상순,배추,3341,2902,2896.0,114,0,3,22,243,2956
202404하순,배추,3015,2002,2710.666666666667,136,0,0,12,140,2726
202404중순,배추,3112,2512,2783.333333333333,142,0,5,17,129,2818
202404상순,배추,3191,1878,2628.0,160,0,1,18,137,2877
202403하순,배추,3162,2928,2749.0,165,0,0,14,153,2828
202403중순,배추,3058,2175,2316.666666666667,202,0,0,16,179,2659
202403상순,배추,2238,2703,2639.333333333333,125,0,0,11,130,1968
202402하순,배추,2262,1913,2003.666666666667,110,0,0,10,192,1947
202402중순,배추,1870,2088,2197.333333333333,100,0,0,9,85,1676
202402상순,배추,2856,2569,2112.333333333333,179,0,0,14,39,2622
202401하순,배추,2854,1026,2560.0,162,0,0,11,49,2634
202401중순,배추,2389,2572,2585.0,135,0,0,12,40,2202
202401상순,배추,2210,2024,2286.333333333333,114,0,0,12,69,2013
202312하순,배추,2797,2619,2655.666666666667,151,0,11,11,49,2576
202312중순,배추,2298,2172,2747.0,158,0,16,16,30,2080
202312상순,배추,4375,3936,4605.666666666667,304,26,109,16,158,3764
202311하순,배추,8757,0,0.0,534,57,217,26,349,7572
202311중순,배추,8066,0,0.0,567,30,147,34,312,6978
202311상순,배추,5935,0,0.0,279,4,36,36,145,5438
202310하순,배추,4926,5223,5648.333333333333,241,0,40,74,85,4486
202310중순,배추,5147,5114,5148.333333333333,350,0,24,125,79,4568
202310상순,배추,4840,4358,4581.666666666667,351,0,31,114,66,4278
202309하순,배추,4984,5015,4016.666666666666,346,0,96,103,19,4418
202309중순,배추,6372,3344,4398.666666666667,295,0,74,90,50,5863
202309상순,배추,4620,6016,5561.333333333333,181,0,54,75,90,4218
202308하순,배추,4849,6198,4745.0,228,0,32,69,70,4449
202308중순,배추,3698,4713,3885.666666666666,181,0,2,39,40,3437
202308상순,배추,3250,3854,3486.0,124,0,3,22,20,3079
202307하순,배추,3179,3470,3526.0,173,0,9,33,28,2933
202307중순,배추,3193,3714,3555.333333333333,172,0,7,34,70,2911
202307상순,배추,3042,3026,3797.0,155,0,8,24,67,2790
202306하순,배추,3319,4025,3827.666666666666,199,1,8,20,40,3051
202306중순,배추,2555,3124,3424.0,126,1,5,19,22,2382
202306상순,배추,2819,3496,3454.333333333333,107,0,0,18,46,2648
202305하순,배추,3195,3354,3441.333333333333,192,0,1,20,84,2897
202305중순,배추,2589,3457,3360.0,141,0,0,21,79,2351
202305상순,배추,2902,3010,2938.666666666666,156,0,0,22,78,2648
202304하순,배추,2002,3171,2872.333333333333,142,0,0,14,75,1771
202304중순,배추,2512,3169,3002.333333333333,173,0,0,16,92,2232
202304상순,배추,1878,2633,2822.666666666667,133,0,0,15,40,1690
202303하순,배추,2928,2971,2763.333333333333,130,0,0,18,66,2713
202303중순,배추,2175,2268,2632.0,90,0,0,16,30,2041
202303상순,배추,2703,2740,2707.333333333333,134,0,0,18,76,2475
202302하순,배추,1913,2188,2139.0,75,0,0,11,33,1796
202302중순,배추,2088,2007,2404.666666666667,86,0,0,12,71,1919
202302상순,배추,2569,1717,2250.333333333333,112,0,0,13,114,2329
202301하순,배추,1026,2768,2632.0,30,0,0,8,20,967
202301중순,배추,2572,2717,2711.0,141,0,0,14,148,2268
202301상순,배추,2024,1953,2608.666666666667,120,0,0,10,89,1805
202212하순,배추,2619,2590,2752.333333333333,118,9,0,16,65,2412
202212중순,배추,2172,2388,0.0,130,1,7,14,70,1951
202212상순,배추,3936,4649,0.0,287,35,72,13,191,3338
202211하순,배추,7609,7476,10100.66666666667,624,64,96,19,474,6330
202211중순,배추,8301,11443,10576.66666666667,676,45,65,19,557,6942
202211상순,배추,6677,7425,6493.333333333332,363,9,25,21,255,6005
202210하순,배추,5223,5699,5741.0,319,20,27,46,114,4697
202210중순,배추,5114,5090,5325.0,208,250,44,57,122,4433
202210상순,배추,4358,4838,4550.333333333333,90,320,12,46,53,3837
202209하순,배추,5015,3605,4849.666666666667,91,410,48,68,20,4378
202209중순,배추,3344,5152,5738.666666666667,70,0,13,38,20,3199
202209상순,배추,6016,5238,5348.333333333333,178,0,18,79,82,5657
202208하순,배추,6198,4714,4677.0,158,0,9,41,125,5863
202208중순,배추,4713,3925,3577.333333333333,100,1,9,20,73,4510
202208상순,배추,3854,2641,3465.0,130,0,2,13,38,3672
202207하순,배추,3470,3223,3684.0,149,0,3,21,31,3264
202207중순,배추,3714,3198,3628.666666666666,170,0,9,14,79,3444
202207상순,배추,3026,4637,3958.0,149,0,11,15,69,2781
202206하순,배추,4025,4051,4121.333333333333,186,0,10,21,140,3667
