"조회일자","지역(시군)","지점명","평균 기온(°C)","최고 기온(°C)","최저 기온(°C)","전년 기온(°C)","평균 강수량(mm)","전년 강수량(mm)","평균 일조시간(hr)","전년 일조시간(hr)","평균 일사량(MJ/㎡)","전년 일사량(MJ/㎡)","평균 습도(%)","전년 습도(%)"
"20251231","전남","해남군 삼산면","-1.2","2.2","-4.6","4.3","0.0","0.0","0.0","0.0","10.01","12.7","61.3","64.6"
"20251230","전남","해남군 삼산면","3.9","8.2","-3.5","5.2","0.0","0.0","0.0","0.0","13.09","7.8","49.4","81.5"
"20251229","전남","해남군 삼산면","6.5","13.8","-1.1","3.6","0.0","0.0","0.0","0.0","9.62","11.9","83.8","76.0"
"20251228","전남","해남군 삼산면","3.8","11.6","-4.0","1.9","0.5","1.5","0.0","0.0","12.16","6.8","73.2","79.3"
"20251227","전남","해남군 삼산면","-1.0","7.0","-7.0","4.0","0.0","0.0","0.0","0.0","12.21","10.2","72.8","60.2"
"20251226","전남","해남군 삼산면","-2.3","0.4","-5.3","4.0","0.0","0.0","0.0","0.0","10.17","9.0","65.7","70.0"
"20251225","전남","해남군 삼산면","2.6","5.7","-1.2","2.0","0.0","0.0","0.0","0.0","6.91","6.2","65.1","82.9"
"20251224","전남","해남군 삼산면","7.0","10.7","4.3","4.0","3.0","0.0","0.0","0.0","3.06","12.3","83.8","67.4"
"20251223","전남","해남군 삼산면","8.7","12.5","-1.6","1.2","1.5","0.0","0.0","0.0","4.67","11.8","75.9","74.2"
"20251222","전남","해남군 삼산면","1.2","10.2","-6.5","1.9","0.0","0.0","0.0","0.0","13.18","9.9","58.8","58.7"
"20251221","전남","해남군 삼산면","3.9","7.6","0.0","4.0","0.0","0.0","0.0","0.0","9.05","5.7","55.5","68.3"
"20251220","전남","해남군 삼산면","12.0","17.8","6.6","1.4","0.0","0.0","0.0","0.0","3.29","6.3","85.1","78.8"
"20251219","전남","해남군 삼산면","10.5","18.3","0.9","0.2","0.0","0.0","0.0","0.0","10.08","12.6","71.5","58.2"
"20251218","전남","해남군 삼산면","3.0","11.8","-2.6","1.7","0.0","0.0","0.0","0.0","12.69","7.5","79.4","78.7"
"20251217","전남","해남군 삼산면","7.1","10.0","-0.1","2.8","0.0","0.0","0.0","0.0","8.56","11.0","74.9","78.2"
"20251216","전남","해남군 삼산면","7.3","13.4","-0.5","4.6","0.0","0.0","0.0","0.0","7.29","7.0","80.1","71.6"
"20251215","전남","해남군 삼산면","4.0","9.6","-0.1","5.1","0.0","0.5","0.0","0.0","11.06","4.1","81.7","64.5"
"20251214","전남","해남군 삼산면","5.0","7.8","1.5","2.2","1.0","0.0","0.0","0.0","5.28","5.2","72.6","76.0"
"20251213","전남","해남군 삼산면","7.0","10.7","2.1","2.7","10.5","0.5","0.0","0.0","2.77","7.0","77.7","72.5"
"20251212","전남","해남군 삼산면","4.5","11.6","-3.7","4.3","0.0","0.0","0.0","0.0","12.11","11.7","65.8","63.1"
