DATE,품목명,단위,등급명,가격_평균,가격_전일,가격_전년,반입량_총,반입량_전일,반입량_전년
2018-01-01,배추,10키로망대,상,6416.0,5391.0,9799.0,462,462,682
2018-01-02,배추,10키로망대,상,6416.0,5391.0,9736.1,462,462,682
2018-01-03,배추,10키로망대,상,6416.0,5391.0,9673.2,462,462,682
2018-01-04,배추,10키로망대,상,5261.0,5391.0,9610.3,572,462,485
2018-01-05,배추,10키로망대,상,5098.0,5391.0,9547.4,439,572,472
2018-01-06,배추,10키로망대,상,4969.0,5391.0,9484.5,332,439,604
2018-01-07,배추,10키로망대,상,5103.0,5391.0,9421.6,422,332,577
2018-01-08,배추,10키로망대,상,5237.0,5391.0,9358.7,511,422,551
2018-01-09,배추,10키로망대,상,5567.0,5391.0,9295.8,299,511,524
2018-01-10,배추,10키로망대,상,5391.0,5391.0,9232.9,376,300,483
2018-01-11,배추,10키로망대,상,5505.0,5391.0,9170.0,250,375,417
2018-01-12,배추,10키로망대,상,5173.0,5505.0,8978.0,197,250,340
2018-01-13,배추,10키로망대,상,5173.0,5173.0,9124.0,51,197,418
2018-01-14,배추,10키로망대,상,5316.5,5173.0,9152.0,252,51,384
2018-01-15,배추,10키로망대,상,5460.0,5316.5,8850.0,454,252,350
2018-01-16,배추,10키로망대,상,5580.0,5460.0,8954.0,368,454,316
2018-01-17,배추,10키로망대,상,5457.0,5580.0,9058.0,408,368,368
2018-01-18,배추,10키로망대,상,5375.0,5457.0,9203.0,478,407,400
2018-01-19,배추,10키로망대,상,5108.0,5375.0,9270.0,449,478,621
2018-01-20,배추,10키로망대,상,5043.0,5108.0,9013.0,295,449,559
2018-01-21,배추,10키로망대,상,5270.5,5043.0,9105.0,362,295,612
2018-01-22,배추,10키로망대,상,5498.0,5270.5,8884.0,430,362,664
2018-01-23,배추,10키로망대,상,5602.0,5498.0,8765.5,430,430,717
2018-01-24,배추,10키로망대,상,5389.0,5602.0,8647.0,308,431,540
2018-01-25,배추,10키로망대,상,5498.0,5389.0,7996.0,134,309,479
2018-01-26,배추,10키로망대,상,5498.0,5498.0,8423.0,61,135,354
2018-01-27,배추,10키로망대,상,7204.0,5498.0,8165.0,114,61,94
2018-01-28,배추,10키로망대,상,7876.5,7204.0,7638.0,210,114,154
2018-01-29,배추,10키로망대,상,8549.0,7876.5,7704.9,306,210,214
2018-01-30,배추,10키로망대,상,8933.0,8549.0,7771.9,349,306,274
2018-01-31,배추,10키로망대,상,8442.0,8933.0,7838.8,431,348,334
2018-02-01,배추,10키로망대,상,8840.0,8442.0,7905.7,288,431,394
2018-02-02,배추,10키로망대,상,9152.0,8395.3,7972.6,368,288,432
2018-02-03,배추,10키로망대,상,9933.0,8348.6,8039.6,298,368,300
2018-02-04,배추,10키로망대,상,9660.0,8301.9,8106.5,405,298,358
2018-02-05,배추,10키로망대,상,9387.0,8255.2,8173.4,512,405,415
2018-02-06,배추,10키로망대,상,9389.0,8208.5,8240.4,424,511,473
2018-02-07,배추,10키로망대,상,8807.0,8161.8,8307.3,483,425,464
2018-02-08,배추,10키로망대,상,8028.0,8115.1,8374.2,468,483,321
2018-02-09,배추,10키로망대,상,8969.0,8068.4,8441.1,429,469,408
2018-02-10,배추,10키로망대,상,7975.0,8021.7,8508.1,555,429,321
2018-02-11,배추,10키로망대,상,7727.0,7975.0,8575.0,712,555,356
2018-02-12,배추,10키로망대,상,7479.0,7727.0,8832.0,870,712,392
2018-02-13,배추,10키로망대,상,6839.0,7479.0,9129.0,610,870,427
2018-02-14,배추,10키로망대,상,7497.0,6839.0,9426.0,371,611,418
2018-02-15,배추,10키로망대,상,7497.0,7497.0,9503.0,81,372,397
2018-02-16,배추,10키로망대,상,7456.5,7497.0,9178.0,177,81,442
2018-02-17,배추,10키로망대,상,7416.0,7456.5,9668.0,272,177,486
2018-02-18,배추,10키로망대,상,7375.5,7416.0,9069.0,368,272,531
2018-02-19,배추,10키로망대,상,7335.0,7375.5,9190.0,464,368,575
2018-02-20,배추,10키로망대,상,6836.0,7335.0,9135.0,314,464,620
2018-02-21,배추,10키로망대,상,7379.0,6836.0,9080.0,357,315,377
2018-02-22,배추,10키로망대,상,7579.0,7379.0,8871.0,344,357,336
2018-02-23,배추,10키로망대,상,7892.0,7579.0,8982.0,364,345,316
2018-02-24,배추,10키로망대,상,7735.0,7892.0,9363.0,276,364,486
2018-02-25,배추,10키로망대,상,7799.0,7735.0,9052.0,448,276,509
2018-02-26,배추,10키로망대,상,7863.0,7799.0,8497.0,619,448,533
2018-02-27,배추,10키로망대,상,8184.0,7863.0,8625.5,357,619,556
2018-02-28,배추,10키로망대,상,8603.0,8184.0,8754.0,468,357,461
2018-03-01,배추,10키로망대,상,9530.0,8603.0,8547.0,207,467,366
2018-03-02,배추,10키로망대,상,8472.0,8529.3,8539.3,352,207,471
2018-03-03,배추,10키로망대,상,7950.0,8455.6,8531.6,316,353,416
2018-03-04,배추,10키로망대,상,8255.5,8381.9,8523.9,416,316,460
2018-03-05,배추,10키로망대,상,8561.0,8308.2,8516.2,515,416,504
