DATE,품목명,단위,등급명,평균가격,전일,전년
2018-01-01,배추,10키로망대,상,6416.0,5391.0,9799.0
2018-01-02,배추,10키로망대,상,6416.0,5391.0,9736.1
2018-01-03,배추,10키로망대,상,6416.0,5391.0,9673.2
2018-01-04,배추,10키로망대,상,5261.0,5391.0,9610.3
2018-01-05,배추,10키로망대,상,5098.0,5391.0,9547.4
2018-01-06,배추,10키로망대,상,4969.0,5391.0,9484.5
2018-01-07,배추,10키로망대,상,5103.0,5391.0,9421.6
2018-01-08,배추,10키로망대,상,5237.0,5391.0,9358.7
2018-01-09,배추,10키로망대,상,5567.0,5391.0,9295.8
2018-01-10,배추,10키로망대,상,5391.0,5391.0,9232.9
2018-01-11,배추,10키로망대,상,5505.0,5391.0,9170.0
2018-01-12,배추,10키로망대,상,5173.0,5505.0,8978.0
2018-01-13,배추,10키로망대,상,5173.0,5173.0,9124.0
2018-01-14,배추,10키로망대,상,5316.5,5173.0,9152.0
2018-01-15,배추,10키로망대,상,5460.0,5316.5,8850.0
2018-01-16,배추,10키로망대,상,5580.0,5460.0,8954.0
2018-01-17,배추,10키로망대,상,5457.0,5580.0,9058.0
2018-01-18,배추,10키로망대,상,5375.0,5457.0,9203.0
2018-01-19,배추,10키로망대,상,5108.0,5375.0,9270.0
2018-01-20,배추,10키로망대,상,5043.0,5108.0,9013.0
2018-01-21,배추,10키로망대,상,5270.5,5043.0,9105.0
2018-01-22,배추,10키로망대,상,5498.0,5270.5,8884.0
2018-01-23,배추,10키로망대,상,5602.0,5498.0,8765.5
2018-01-24,배추,10키로망대,상,5389.0,5602.0,8647.0
2018-01-25,배추,10키로망대,상,5498.0,5389.0,7996.0
2018-01-26,배추,10키로망대,상,5498.0,5498.0,8423.0
2018-01-27,배추,10키로망대,상,7204.0,5498.0,8165.0
2018-01-28,배추,10키로망대,상,7876.5,7204.0,7638.0
2018-01-29,배추,10키로망대,상,8549.0,7876.5,7704.9
2018-01-30,배추,10키로망대,상,8933.0,8549.0,7771.9
2018-01-31,배추,10키로망대,상,8442.0,8933.0,7838.8
2018-02-01,배추,10키로망대,상,8840.0,8442.0,7905.7
2018-02-02,배추,10키로망대,상,9152.0,8395.3,7972.6
2018-02-03,배추,10키로망대,상,9933.0,8348.6,8039.6
2018-02-04,배추,10키로망대,상,9660.0,8301.9,8106.5
2018-02-05,배추,10키로망대,상,9387.0,8255.2,8173.4
2018-02-06,배추,10키로망대,상,9389.0,8208.5,8240.4
