DATE,품목명,총반입량,전일,전년
2018-01-01,배추,462,462,682
2018-01-02,배추,462,462,682
2018-01-03,배추,462,462,682
2018-01-04,배추,572,462,485
2018-01-05,배추,439,572,472
2018-01-06,배추,332,439,604
2018-01-07,배추,422,332,577
2018-01-08,배추,511,422,551
2018-01-09,배추,299,511,524
2018-01-10,배추,376,300,483
2018-01-11,배추,250,375,417
2018-01-12,배추,197,250,340
2018-01-13,배추,51,197,418
2018-01-14,배추,252,51,384
2018-01-15,배추,454,252,350
2018-01-16,배추,368,454,316
2018-01-17,배추,408,368,368
2018-01-18,배추,478,407,400
2018-01-19,배추,449,478,621
2018-01-20,배추,295,449,559
2018-01-21,배추,362,295,612
2018-01-22,배추,430,362,664
2018-01-23,배추,430,430,717
2018-01-24,배추,308,431,540
2018-01-25,배추,134,309,479
2018-01-26,배추,61,135,354
2018-01-27,배추,114,61,94
2018-01-28,배추,210,114,154
2018-01-29,배추,306,210,214
2018-01-30,배추,349,306,274
2018-01-31,배추,431,348,334
2018-02-01,배추,288,431,394
2018-02-02,배추,368,288,432
2018-02-03,배추,298,368,300
2018-02-04,배추,405,298,358
2018-02-05,배추,512,405,415
2018-02-06,배추,424,511,473
2018-02-07,배추,483,425,464
2018-02-08,배추,468,483,321
2018-02-09,배추,429,469,408
2018-02-10,배추,555,429,321
2018-02-11,배추,712,555,356
2018-02-12,배추,870,712,392
2018-02-13,배추,610,870,427
2018-02-14,배추,371,611,418
2018-02-15,배추,81,372,397
2018-02-16,배추,177,81,442
2018-02-17,배추,272,177,486
2018-02-18,배추,368,272,531
2018-02-19,배추,464,368,575
2018-02-20,배추,314,464,620
2018-02-21,배추,357,315,377
2018-02-22,배추,344,357,336
2018-02-23,배추,364,345,316
2018-02-24,배추,276,364,486
2018-02-25,배추,448,276,509
2018-02-26,배추,619,448,533
2018-02-27,배추,357,619,556
2018-02-28,배추,468,357,461
2018-03-01,배추,207,467,366
2018-03-02,배추,352,207,471
2018-03-03,배추,316,353,416
2018-03-04,배추,416,316,460
2018-03-05,배추,515,416,504
2018-03-06,배추,323,515,548
2018-03-07,배추,490,323,366
2018-03-08,배추,546,491,408
2018-03-09,배추,348,545,491
2018-03-10,배추,300,348,438
2018-03-11,배추,416,300,470
2018-03-12,배추,532,416,502
2018-03-13,배추,589,532,534
2018-03-14,배추,480,590,488
2018-03-15,배추,304,480,495
2018-03-16,배추,246,304,420
2018-03-17,배추,218,246,345
2018-03-18,배추,400,218,391
2018-03-19,배추,581,400,436
2018-03-20,배추,465,580,482
2018-03-21,배추,361,464,533
2018-03-22,배추,308,361,505
2018-03-23,배추,368,307,428
2018-03-24,배추,280,368,401
2018-03-25,배추,376,280,457
2018-03-26,배추,472,376,514
2018-03-27,배추,444,472,570
2018-03-28,배추,446,444,563
2018-03-29,배추,384,445,465
2018-03-30,배추,324,385,326
2018-03-31,배추,246,323,430
2018-04-01,배추,396,246,507
2018-04-02,배추,547,396,583
2018-04-03,배추,526,548,660
2018-04-04,배추,452,526,609
2018-04-05,배추,362,452,576
2018-04-06,배추,391,363,417
2018-04-07,배추,215,391,370
2018-04-08,배추,364,215,481
2018-04-09,배추,514,364,593
2018-04-10,배추,492,514,704
2018-04-11,배추,476,492,527
2018-04-12,배추,385,476,582
2018-04-13,배추,325,385,448
2018-04-14,배추,207,324,355
2018-04-15,배추,363,207,395
2018-04-16,배추,519,363,436
2018-04-17,배추,494,519,476
2018-04-18,배추,482,494,478
2018-04-19,배추,365,481,433
