지점명,일시,평균기온(°C),일강수량(mm),평균 상대습도(%),합계 일조시간(hr),합계 일사량(MJ/m2),적산온도_7d,적산온도_14d,적산온도_30d,적산온도_60d,적산온도_90d,적산온도_120d,누적강수량_7d,누적강수량_14d,누적강수량_30d,누적강수량_60d,누적강수량_90d,누적강수량_120d,누적일조시간_7d,누적일조시간_14d,누적일조시간_30d,누적일조시간_60d,누적일조시간_90d,누적일조시간_120d,누적일사량_7d,누적일사량_14d,누적일사량_30d,누적일사량_60d,누적일사량_90d,누적일사량_120d
대관령,2017-01-01,-1.3,0.0,74.3,8.6,9.8,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,0.0,0.0,0.0,0.0,0.0,0.0,8.6,8.6,8.6,8.6,8.6,8.6,9.8,9.8,9.8,9.8,9.8,9.8
대관령,2017-01-02,1.1,0.0,75.4,8.2,8.46,-0.19999999999999996,-0.19999999999999996,-0.19999999999999996,-0.19999999999999996,-0.19999999999999996,-0.19999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,16.799999999999997,16.799999999999997,16.799999999999997,16.799999999999997,16.799999999999997,16.799999999999997,18.26,18.26,18.26,18.26,18.26,18.26
대관령,2017-01-03,-0.6,0.0,56.0,8.9,10.32,-0.7999999999999999,-0.7999999999999999,-0.7999999999999999,-0.7999999999999999,-0.7999999999999999,-0.7999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,25.7,25.7,25.7,25.7,25.7,25.7,28.580000000000002,28.580000000000002,28.580000000000002,28.580000000000002,28.580000000000002,28.580000000000002
대관령,2017-01-04,-1.2,0.0,68.4,8.9,9.79,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,34.6,34.6,34.6,34.6,34.6,34.6,38.370000000000005,38.370000000000005,38.370000000000005,38.370000000000005,38.370000000000005,38.370000000000005
대관령,2017-01-05,-3.2,2.9,92.9,2.4,1.59,-5.2,-5.2,-5.2,-5.2,-5.2,-5.2,2.9,2.9,2.9,2.9,2.9,2.9,37.0,37.0,37.0,37.0,37.0,37.0,39.96,39.96,39.96,39.96,39.96,39.96
대관령,2017-01-06,-1.1,0.0,86.5,8.2,10.18,-6.300000000000001,-6.300000000000001,-6.300000000000001,-6.300000000000001,-6.300000000000001,-6.300000000000001,2.9,2.9,2.9,2.9,2.9,2.9,45.2,45.2,45.2,45.2,45.2,45.2,50.14,50.14,50.14,50.14,50.14,50.14
대관령,2017-01-07,-1.4,0.0,79.1,9.0,9.05,-7.7,-7.7,-7.7,-7.7,-7.7,-7.7,2.9,2.9,2.9,2.9,2.9,2.9,54.2,54.2,54.2,54.2,54.2,54.2,59.19,59.19,59.19,59.19,59.19,59.19
대관령,2017-01-08,1.1,0.2,93.0,0.8,4.19,-5.300000000000001,-6.6,-6.6,-6.6,-6.6,-6.6,3.1,3.1,3.1,3.1,3.1,3.1,46.4,55.0,55.0,55.0,55.0,55.0,53.580000000000005,63.38,63.38,63.38,63.38,63.38
대관령,2017-01-09,-1.1,0.7,73.5,8.2,10.28,-7.5,-7.7,-7.7,-7.7,-7.7,-7.7,3.8,3.8,3.8,3.8,3.8,3.8,46.400000000000006,63.2,63.2,63.2,63.2,63.2,55.400000000000006,73.66,73.66,73.66,73.66,73.66
대관령,2017-01-10,-6.6,0.0,53.5,9.1,10.7,-13.5,-14.3,-14.3,-14.3,-14.3,-14.3,3.8,3.8,3.8,3.8,3.8,3.8,46.599999999999994,72.3,72.3,72.3,72.3,72.3,55.779999999999994,84.36,84.36,84.36,84.36,84.36
