지점명,일시,평균기온(°C),일강수량(mm),평균 상대습도(%),합계 일조시간(hr),합계 일사량(MJ/m2)
대관령,2017-01-01,-1.3,0.0,74.3,8.6,9.8
대관령,2017-01-02,1.1,0.0,75.4,8.2,8.46
대관령,2017-01-03,-0.6,0.0,56.0,8.9,10.32
대관령,2017-01-04,-1.2,0.0,68.4,8.9,9.79
대관령,2017-01-05,-3.2,2.9,92.9,2.4,1.59
대관령,2017-01-06,-1.1,0.0,86.5,8.2,10.18
대관령,2017-01-07,-1.4,0.0,79.1,9.0,9.05
대관령,2017-01-08,1.1,0.2,93.0,0.8,4.19
대관령,2017-01-09,-1.1,0.7,73.5,8.2,10.28
대관령,2017-01-10,-6.6,0.0,53.5,9.1,10.7
대관령,2017-01-11,-8.5,0.0,40.3,9.2,11.26
대관령,2017-01-12,-5.9,0.0,47.8,9.3,10.81
대관령,2017-01-13,-10.4,0.0,59.4,8.5,8.59
대관령,2017-01-14,-13.4,0.0,46.8,9.4,11.56
대관령,2017-01-15,-11.7,0.0,48.1,9.4,11.73
대관령,2017-01-16,-10.3,0.0,71.9,9.2,9.79
대관령,2017-01-17,-7.7,0.0,50.6,9.3,10.75
대관령,2017-01-18,-4.7,0.0,66.4,8.6,9.97
대관령,2017-01-19,-4.9,0.0,62.1,8.8,11.31
대관령,2017-01-20,-7.7,10.1,82.3,2.0,3.15
대관령,2017-01-21,-9.4,0.0,79.6,8.0,11.99
대관령,2017-01-22,-11.7,0.1,59.9,9.5,12.38
대관령,2017-01-23,-14.0,0.0,64.1,9.6,12.96
대관령,2017-01-24,-12.3,0.0,57.3,9.7,13.05
대관령,2017-01-25,-11.8,0.0,56.4,9.7,13.67
대관령,2017-01-26,-7.7,0.0,55.6,7.5,11.3
대관령,2017-01-27,-4.9,1.7,60.6,9.4,13.01
대관령,2017-01-28,-5.7,0.0,54.8,8.5,12.15
대관령,2017-01-29,-1.1,5.5,66.5,2.4,1.93
대관령,2017-01-30,-6.1,1.1,82.0,4.4,6.7
대관령,2017-01-31,-8.7,0.0,60.3,7.1,7.49
대관령,2017-02-01,-7.3,0.0,55.8,9.1,13.43
대관령,2017-02-02,-6.8,0.0,48.9,9.9,14.61
대관령,2017-02-03,-4.0,0.0,66.6,9.8,14.88
대관령,2017-02-04,-2.0,0.0,50.5,5.9,10.45
대관령,2017-02-05,-1.6,0.0,75.0,4.5,7.91
대관령,2017-02-06,-5.7,0.0,65.6,9.8,14.02
대관령,2017-02-07,-7.6,0.0,69.5,5.5,8.93
대관령,2017-02-08,-6.2,0.0,59.3,3.9,7.98
대관령,2017-02-09,-9.1,0.0,64.9,6.9,10.36
대관령,2017-02-10,-11.7,0.0,61.8,9.7,14.9
대관령,2017-02-11,-10.6,0.0,59.9,10.1,15.37
대관령,2017-02-12,-6.7,0.0,57.0,10.2,15.7
대관령,2017-02-13,-5.4,0.0,62.8,9.7,15.71
대관령,2017-02-14,-5.1,0.0,59.4,10.1,15.1
대관령,2017-02-15,-1.8,0.0,47.1,9.5,14.07
대관령,2017-02-16,3.7,0.0,50.6,10.1,15.78
대관령,2017-02-17,1.5,2.8,61.0,9.1,14.88
대관령,2017-02-18,-6.1,0.0,54.3,9.4,14.31
대관령,2017-02-19,-2.6,0.0,67.6,5.4,10.03
대관령,2017-02-20,-2.2,0.0,68.4,10.0,16.35
대관령,2017-02-21,-5.1,0.0,67.0,10.3,17.06
대관령,2017-02-22,-0.5,4.4,76.0,1.6,4.19
대관령,2017-02-23,-3.9,0.0,72.0,8.8,12.69
대관령,2017-02-24,-5.6,0.0,61.6,10.6,17.87
대관령,2017-02-25,-2.5,0.0,58.5,10.3,17.54
대관령,2017-02-26,-3.1,0.0,72.5,10.6,17.45
대관령,2017-02-27,-2.6,0.0,75.0,10.5,15.49
대관령,2017-02-28,1.3,0.0,47.8,10.5,17.26
대관령,2017-03-01,1.2,1.5,68.5,2.0,7.88
대관령,2017-03-02,-1.5,4.6,87.0,3.0,4.94
대관령,2017-03-03,-1.6,0.0,61.0,10.8,18.53
대관령,2017-03-04,0.1,0.0,68.0,10.3,17.61
대관령,2017-03-05,1.5,0.0,63.9,7.1,12.42
대관령,2017-03-06,-3.3,0.5,54.3,10.9,17.37
대관령,2017-03-07,-6.1,0.0,42.3,10.8,19.46
대관령,2017-03-08,-5.6,0.0,61.8,10.3,17.6
대관령,2017-03-09,-1.8,0.0,54.1,9.4,16.35
대관령,2017-03-10,-0.2,0.0,41.9,11.0,19.33
대관령,2017-03-11,2.4,0.0,41.6,10.9,19.2
대관령,2017-03-12,4.9,0.0,46.6,3.8,10.35
대관령,2017-03-13,1.3,0.0,71.8,10.7,18.7
대관령,2017-03-14,-3.6,0.4,85.8,2.6,6.85
대관령,2017-03-15,-3.0,0.0,76.8,11.0,18.19
대관령,2017-03-16,-0.9,0.0,68.6,10.5,19.27
대관령,2017-03-17,0.8,0.0,60.1,11.3,19.95
대관령,2017-03-18,4.2,0.0,45.1,7.8,14.78
대관령,2017-03-19,2.9,0.0,53.3,11.1,20.36
대관령,2017-03-20,4.1,0.0,45.4,3.6,9.91
대관령,2017-03-21,-0.4,0.6,77.8,2.9,6.7
대관령,2017-03-22,2.3,0.0,51.6,10.6,20.82
대관령,2017-03-23,0.4,0.0,74.4,5.3,9.82
대관령,2017-03-24,-0.2,0.0,80.5,7.6,14.86
대관령,2017-03-25,-0.2,1.7,91.6,1.8,7.0
대관령,2017-03-26,0.4,0.2,89.8,3.7,9.72
대관령,2017-03-27,0.4,1.4,82.4,3.7,10.52
대관령,2017-03-28,1.6,0.0,68.6,10.3,19.07
대관령,2017-03-29,4.0,0.0,50.0,11.2,21.62
대관령,2017-03-30,4.5,0.0,67.0,10.4,19.73
대관령,2017-03-31,1.0,6.9,92.6,2.9,2.75
대관령,2017-04-01,0.6,4.1,92.9,2.7,7.36
대관령,2017-04-02,3.6,0.0,60.8,11.1,22.85
대관령,2017-04-03,7.7,0.0,40.6,12.1,23.29
대관령,2017-04-04,9.1,0.0,42.5,12.0,21.99
대관령,2017-04-05,9.0,6.8,61.4,1.9,6.5
대관령,2017-04-06,10.0,5.5,80.0,6.2,9.95
대관령,2017-04-07,8.4,0.0,78.8,10.6,22.04
대관령,2017-04-08,11.5,0.0,64.6,10.2,19.75
대관령,2017-04-09,4.3,5.1,80.5,3.2,7.98
대관령,2017-04-10,5.8,0.0,48.0,11.8,24.34
대관령,2017-04-11,8.5,3.5,65.1,7.7,16.79
대관령,2017-04-12,6.8,0.0,33.0,12.4,24.52
대관령,2017-04-13,8.2,0.0,40.1,12.2,24.29
대관령,2017-04-14,9.4,5.8,54.9,7.7,18.9
대관령,2017-04-15,12.7,0.0,59.0,10.4,21.91
대관령,2017-04-16,15.6,0.0,46.8,8.2,18.14
대관령,2017-04-17,8.7,16.3,76.9,3.1,2.68
대관령,2017-04-18,7.8,8.4,80.1,7.5,13.61
대관령,2017-04-19,8.4,0.0,50.1,12.6,25.99
대관령,2017-04-20,8.3,0.1,57.1,7.7,17.37
대관령,2017-04-21,5.8,3.3,81.4,10.2,21.89
대관령,2017-04-22,6.7,2.2,67.1,10.3,20.45
대관령,2017-04-23,10.3,0.0,45.9,12.8,26.51
대관령,2017-04-24,11.9,0.0,33.6,12.6,25.03
대관령,2017-04-25,12.6,0.0,49.4,10.8,22.67
대관령,2017-04-26,7.6,0.0,58.9,11.4,22.2
대관령,2017-04-27,7.0,0.0,44.9,12.4,23.75
대관령,2017-04-28,9.5,0.0,46.3,9.8,21.84
대관령,2017-04-29,12.5,0.0,43.3,12.7,26.18
대관령,2017-04-30,16.3,0.0,46.5,11.7,23.63
대관령,2017-05-01,10.6,0.0,51.6,13.1,27.13
대관령,2017-05-02,12.2,0.0,55.5,12.3,23.63
대관령,2017-05-03,13.6,0.0,56.0,12.7,25.19
대관령,2017-05-04,14.2,0.0,54.1,10.9,21.14
대관령,2017-05-05,17.5,0.0,53.1,12.3,24.41
대관령,2017-05-06,11.0,0.0,30.3,12.7,26.74
대관령,2017-05-07,12.1,0.0,31.3,13.0,27.43
대관령,2017-05-08,14.7,0.0,40.3,9.1,21.56
대관령,2017-05-09,11.4,4.0,80.5,1.8,8.89
대관령,2017-05-10,11.3,0.5,87.0,5.2,9.45
대관령,2017-05-11,14.5,0.0,71.9,11.4,24.3
대관령,2017-05-12,15.6,0.0,69.4,2.0,8.89
대관령,2017-05-13,12.3,14.1,77.4,9.8,20.2
대관령,2017-05-14,10.8,0.0,55.6,13.5,28.38
대관령,2017-05-15,9.1,0.0,75.6,5.9,12.06
대관령,2017-05-16,9.5,0.0,84.3,7.0,15.22
대관령,2017-05-17,11.8,0.0,74.3,11.9,23.84
대관령,2017-05-18,15.2,0.0,59.5,13.4,27.23
대관령,2017-05-19,18.8,0.0,36.8,13.5,28.08
대관령,2017-05-20,18.3,0.0,48.8,12.7,25.61
대관령,2017-05-21,16.9,0.0,60.0,13.2,27.62
대관령,2017-05-22,12.6,0.0,83.5,11.3,25.88
대관령,2017-05-23,14.5,0.2,73.9,6.0,15.63
대관령,2017-05-24,14.3,12.8,86.4,8.8,22.86
대관령,2017-05-25,12.3,0.0,69.1,13.0,25.52
대관령,2017-05-26,7.6,0.0,85.0,4.8,11.49
대관령,2017-05-27,11.5,0.0,73.9,13.1,24.97
대관령,2017-05-28,15.7,0.0,63.0,12.7,22.94
대관령,2017-05-29,20.4,0.0,61.0,12.7,26.24
대관령,2017-05-30,19.0,0.0,53.8,6.7,16.75
대관령,2017-05-31,17.2,0.0,57.5,7.5,17.09
대관령,2017-06-01,13.3,17.5,86.1,5.8,10.05
대관령,2017-06-02,10.9,0.0,72.1,11.7,28.04
대관령,2017-06-03,11.4,0.0,74.0,10.9,20.67
대관령,2017-06-04,12.4,4.1,66.4,12.6,24.99
대관령,2017-06-05,11.5,0.1,80.6,12.0,28.31
대관령,2017-06-06,12.3,5.3,76.6,2.3,10.31
대관령,2017-06-07,14.4,6.3,92.9,1.9,4.38
대관령,2017-06-08,16.2,0.0,63.9,13.4,29.95
대관령,2017-06-09,17.0,0.1,62.5,9.0,20.35
대관령,2017-06-10,13.2,0.0,61.0,11.6,23.8
대관령,2017-06-11,11.3,0.0,74.1,12.2,26.75
대관령,2017-06-12,10.3,0.0,84.5,8.5,20.16
대관령,2017-06-13,12.8,0.2,76.1,9.1,17.65
대관령,2017-06-14,15.9,0.0,70.0,12.5,27.93
대관령,2017-06-15,16.9,0.0,72.0,12.8,27.2
대관령,2017-06-16,14.3,0.0,84.3,11.2,23.85
대관령,2017-06-17,17.8,0.0,75.1,12.7,26.82
대관령,2017-06-18,19.5,0.0,70.6,11.8,23.47
대관령,2017-06-19,20.0,0.0,66.9,12.0,23.23
대관령,2017-06-20,18.2,0.0,69.5,10.5,22.78
대관령,2017-06-21,19.3,0.0,68.0,5.8,14.17
대관령,2017-06-22,18.3,0.0,67.3,13.1,22.74
대관령,2017-06-23,17.9,0.0,77.3,12.3,24.14
대관령,2017-06-24,17.4,7.2,84.9,2.4,10.45
대관령,2017-06-25,16.4,1.1,86.6,2.5,9.93
