지점명,일시,평균기온(°C),일강수량(mm),평균 상대습도(%),합계 일조시간(hr),합계 일사량(MJ/m2),적산온도_7d,적산온도_14d,적산온도_30d,적산온도_60d,적산온도_90d,적산온도_120d,누적강수량_7d,누적강수량_14d,누적강수량_30d,누적강수량_60d,누적강수량_90d,누적강수량_120d,누적일조시간_7d,누적일조시간_14d,누적일조시간_30d,누적일조시간_60d,누적일조시간_90d,누적일조시간_120d,누적일사량_7d,누적일사량_14d,누적일사량_30d,누적일사량_60d,누적일사량_90d,누적일사량_120d
해남,2017-01-01,3.2,0.0,80.4,9.0,0.0,3.2,3.2,3.2,3.2,3.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-01-02,7.3,0.0,76.9,5.2,0.0,10.5,10.5,10.5,10.5,10.5,10.5,0.0,0.0,0.0,0.0,0.0,0.0,14.2,14.2,14.2,14.2,14.2,14.2,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-01-03,4.0,0.0,74.3,8.6,0.0,14.5,14.5,14.5,14.5,14.5,14.5,0.0,0.0,0.0,0.0,0.0,0.0,22.8,22.8,22.8,22.8,22.8,22.8,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-01-04,3.2,0.0,82.5,6.4,0.0,17.7,17.7,17.7,17.7,17.7,17.7,0.0,0.0,0.0,0.0,0.0,0.0,29.200000000000003,29.200000000000003,29.200000000000003,29.200000000000003,29.200000000000003,29.200000000000003,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-01-05,6.1,0.0,71.6,0.0,0.0,23.8,23.8,23.8,23.8,23.8,23.8,0.0,0.0,0.0,0.0,0.0,0.0,29.200000000000003,29.200000000000003,29.200000000000003,29.200000000000003,29.200000000000003,29.200000000000003,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-01-06,6.4,0.0,66.8,5.7,0.0,30.2,30.2,30.2,30.2,30.2,30.2,0.0,0.0,0.0,0.0,0.0,0.0,34.9,34.9,34.9,34.9,34.9,34.9,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-01-07,6.8,0.0,67.8,0.2,0.0,37.0,37.0,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,35.1,35.1,35.1,35.1,35.1,35.1,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-01-08,7.9,4.4,75.5,5.4,0.0,41.7,44.9,44.9,44.9,44.9,44.9,4.4,4.4,4.4,4.4,4.4,4.4,31.5,40.5,40.5,40.5,40.5,40.5,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-01-09,4.7,0.0,62.9,5.4,0.0,39.1,49.6,49.6,49.6,49.6,49.6,4.4,4.4,4.4,4.4,4.4,4.4,31.700000000000003,45.900000000000006,45.900000000000006,45.900000000000006,45.900000000000006,45.900000000000006,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-01-10,2.7,0.0,55.5,4.9,0.0,37.8,52.3,52.3,52.3,52.3,52.3,4.4,4.4,4.4,4.4,4.4,4.4,28.0,50.8,50.8,50.8,50.8,50.8,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-01-11,0.3,0.0,53.6,8.7,0.0,34.9,52.6,52.6,52.6,52.6,52.6,4.4,4.4,4.4,4.4,4.4,4.4,30.300000000000004,59.5,59.5,59.5,59.5,59.5,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-01-12,1.0,0.0,75.4,1.7,0.0,29.8,53.6,53.6,53.6,53.6,53.6,4.4,4.4,4.4,4.4,4.4,4.4,32.0,61.2,61.2,61.2,61.2,61.2,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-01-13,0.5,0.3,65.5,3.8,0.0,23.9,54.1,54.1,54.1,54.1,54.1,4.7,4.7,4.7,4.7,4.7,4.7,30.1,65.0,65.0,65.0,65.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-01-14,-1.9,0.0,60.3,5.9,0.0,15.2,52.2,52.2,52.2,52.2,52.2,4.7,4.7,4.7,4.7,4.7,4.7,35.8,70.9,70.9,70.9,70.9,70.9,0.0,0.0,0.0,0.0,0.0,0.0
